trainingdata,dim,n,m,track,rank,step,l,acc,model,C
jrnd,30,6,5,cma,b,7,6604,64.8395,PREF,10
jrnd,30,6,5,cma,b,8,6634,62.2249,PREF,10
jrnd,30,6,5,cma,b,9,6520,61.4110,PREF,10
jrnd,30,6,5,cma,b,10,6194,60.3810,PREF,10
jrnd,30,6,5,cma,b,11,6054,62.5702,PREF,10
jrnd,30,6,5,cma,b,12,5924,62.7616,PREF,10
jrnd,30,6,5,cma,b,13,5770,62.6690,PREF,10
jrnd,30,6,5,cma,b,14,5514,64.1277,PREF,10
jrnd,30,6,5,cma,b,15,5552,66.7867,PREF,10
jrnd,30,6,5,cma,b,16,5334,68.1290,PREF,10
jrnd,30,6,5,cma,b,17,5180,67.0270,PREF,10
jrnd,30,6,5,cma,b,18,4932,69.0998,PREF,10
jrnd,30,6,5,cma,b,19,4680,72.0085,PREF,10
jrnd,30,6,5,cma,b,20,4598,75.1631,PREF,10
jrnd,30,6,5,cma,b,21,4416,78.2156,PREF,10
jrnd,30,6,5,cma,b,22,3972,80.3625,PREF,10
jrnd,30,6,5,cma,b,23,3598,81.7676,PREF,10
jrnd,30,6,5,cma,b,24,3024,84.8545,PREF,10
jrnd,30,6,5,cma,b,25,2174,89.6044,PREF,10
jrnd,30,6,5,cma,b,26,1318,93.7785,PREF,10
jrnd,30,6,5,cma,b,27,564,96.4539,PREF,10
jrnd,30,6,5,cma,b,28,152,100.0000,PREF,10
jrnd,30,6,5,cma,b,29,16,100.0000,PREF,10
jrnd,30,6,5,cma,f,1,5140,57.6265,PREF,10
jrnd,30,6,5,cma,f,2,5130,64.3665,PREF,10
jrnd,30,6,5,cma,f,3,5116,66.3018,PREF,10
jrnd,30,6,5,cma,f,4,5198,63.0627,PREF,10
jrnd,30,6,5,cma,f,5,5244,61.1365,PREF,10
jrnd,30,6,5,cma,f,6,5188,66.0370,PREF,10
jrnd,30,6,5,cma,f,7,5040,62.7381,PREF,10
jrnd,30,6,5,cma,f,8,5028,60.5012,PREF,10
jrnd,30,6,5,cma,f,9,4946,60.6146,PREF,10
jrnd,30,6,5,cma,f,10,4786,64.3962,PREF,10
jrnd,30,6,5,cma,f,11,4700,63.7021,PREF,10
jrnd,30,6,5,cma,f,12,4692,57.5448,PREF,10
jrnd,30,6,5,cma,f,13,4534,61.9321,PREF,10
jrnd,30,6,5,cma,f,14,4414,66.9234,PREF,10
jrnd,30,6,5,cma,f,15,4348,69.7792,PREF,10
jrnd,30,6,5,cma,f,16,4310,68.5383,PREF,10
jrnd,30,6,5,cma,f,17,4186,68.2274,PREF,10
jrnd,30,6,5,cma,f,18,4040,67.7228,PREF,10
jrnd,30,6,5,cma,f,19,3834,71.4137,PREF,10
jrnd,30,6,5,cma,f,20,3880,76.5979,PREF,10
jrnd,30,6,5,cma,f,21,3650,79.7808,PREF,10
jrnd,30,6,5,cma,f,22,3318,82.2785,PREF,10
jrnd,30,6,5,cma,f,23,3090,83.4304,PREF,10
jrnd,30,6,5,cma,f,24,2676,84.7534,PREF,10
jrnd,30,6,5,cma,f,25,2072,86.9691,PREF,10
jrnd,30,6,5,cma,f,26,1272,95.4403,PREF,10
jrnd,30,6,5,cma,f,27,562,96.7972,PREF,10
jrnd,30,6,5,cma,f,28,152,100.0000,PREF,10
jrnd,30,6,5,cma,f,29,16,100.0000,PREF,10
