trainingdata,dim,n,m,track,rank,step,l
jrnd,30,6,5,lwr,p,21,112
jrnd,30,6,5,lwr,p,22,92
jrnd,30,6,5,lwr,p,23,114
jrnd,30,6,5,lwr,p,24,142
jrnd,30,6,5,lwr,p,25,162
jrnd,30,6,5,lwr,p,26,0
jrnd,30,6,5,lwr,p,27,0
jrnd,30,6,5,lwr,p,28,0
jrnd,30,6,5,lwr,p,29,0
jrnd,30,6,5,lwr,p,30,0
jrnd,30,6,5,rnd,b,1,6632
jrnd,30,6,5,rnd,b,2,6548
jrnd,30,6,5,rnd,b,3,6536
jrnd,30,6,5,rnd,b,4,6258
jrnd,30,6,5,rnd,b,5,6276
jrnd,30,6,5,rnd,b,6,5970
jrnd,30,6,5,rnd,b,7,5894
jrnd,30,6,5,rnd,b,8,5770
jrnd,30,6,5,rnd,b,9,5520
jrnd,30,6,5,rnd,b,10,5352
jrnd,30,6,5,rnd,b,11,5114
jrnd,30,6,5,rnd,b,12,4900
jrnd,30,6,5,rnd,b,13,4838
jrnd,30,6,5,rnd,b,14,4538
jrnd,30,6,5,rnd,b,15,4406
jrnd,30,6,5,rnd,b,16,3908
jrnd,30,6,5,rnd,b,17,3674
jrnd,30,6,5,rnd,b,18,3326
jrnd,30,6,5,rnd,b,19,2946
jrnd,30,6,5,rnd,b,20,2594
jrnd,30,6,5,rnd,b,21,2118
jrnd,30,6,5,rnd,b,22,1768
jrnd,30,6,5,rnd,b,23,1386
jrnd,30,6,5,rnd,b,24,998
jrnd,30,6,5,rnd,b,25,754
jrnd,30,6,5,rnd,b,26,464
jrnd,30,6,5,rnd,b,27,266
jrnd,30,6,5,rnd,b,28,104
jrnd,30,6,5,rnd,b,29,20
jrnd,30,6,5,rnd,b,30,0
jrnd,30,6,5,rnd,f,1,5140
jrnd,30,6,5,rnd,f,2,5106
jrnd,30,6,5,rnd,f,3,5084
jrnd,30,6,5,rnd,f,4,4856
jrnd,30,6,5,rnd,f,5,4950
jrnd,30,6,5,rnd,f,6,4714
jrnd,30,6,5,rnd,f,7,4706
jrnd,30,6,5,rnd,f,8,4580
jrnd,30,6,5,rnd,f,9,4324
jrnd,30,6,5,rnd,f,10,4214
jrnd,30,6,5,rnd,f,11,4080
jrnd,30,6,5,rnd,f,12,3914
jrnd,30,6,5,rnd,f,13,3914
jrnd,30,6,5,rnd,f,14,3672
jrnd,30,6,5,rnd,f,15,3570
jrnd,30,6,5,rnd,f,16,3192
jrnd,30,6,5,rnd,f,17,2998
jrnd,30,6,5,rnd,f,18,2806
jrnd,30,6,5,rnd,f,19,2516
jrnd,30,6,5,rnd,f,20,2292
jrnd,30,6,5,rnd,f,21,1836
jrnd,30,6,5,rnd,f,22,1608
jrnd,30,6,5,rnd,f,23,1280
jrnd,30,6,5,rnd,f,24,948
jrnd,30,6,5,rnd,f,25,740
jrnd,30,6,5,rnd,f,26,458
jrnd,30,6,5,rnd,f,27,264
jrnd,30,6,5,rnd,f,28,104
jrnd,30,6,5,rnd,f,29,20
jrnd,30,6,5,rnd,f,30,0
jrnd,30,6,5,rnd,p,1,4550
jrnd,30,6,5,rnd,p,2,4470
jrnd,30,6,5,rnd,p,3,4500
jrnd,30,6,5,rnd,p,4,4380
jrnd,30,6,5,rnd,p,5,4290
jrnd,30,6,5,rnd,p,6,4190
jrnd,30,6,5,rnd,p,7,4240
jrnd,30,6,5,rnd,p,8,4184
jrnd,30,6,5,rnd,p,9,4014
jrnd,30,6,5,rnd,p,10,3910
jrnd,30,6,5,rnd,p,11,3734
jrnd,30,6,5,rnd,p,12,3580
jrnd,30,6,5,rnd,p,13,3590
jrnd,30,6,5,rnd,p,14,3424
jrnd,30,6,5,rnd,p,15,3342
jrnd,30,6,5,rnd,p,16,3000
jrnd,30,6,5,rnd,p,17,2862
jrnd,30,6,5,rnd,p,18,2730
jrnd,30,6,5,rnd,p,19,2412
jrnd,30,6,5,rnd,p,20,2204
jrnd,30,6,5,rnd,p,21,1786
jrnd,30,6,5,rnd,p,22,1586
jrnd,30,6,5,rnd,p,23,1262
jrnd,30,6,5,rnd,p,24,938
jrnd,30,6,5,rnd,p,25,730
jrnd,30,6,5,rnd,p,26,458
jrnd,30,6,5,rnd,p,27,264
jrnd,30,6,5,rnd,p,28,104
jrnd,30,6,5,rnd,p,29,20
jrnd,30,6,5,rnd,p,30,0
jrndn,30,6,5,opt,b,1,6732
jrndn,30,6,5,opt,b,2,7092
jrndn,30,6,5,opt,b,3,7216
jrndn,30,6,5,opt,b,4,7456
jrndn,30,6,5,opt,b,5,7412
jrndn,30,6,5,opt,b,6,7518
jrndn,30,6,5,opt,b,7,7480
jrndn,30,6,5,opt,b,8,7484
jrndn,30,6,5,opt,b,9,7588
jrndn,30,6,5,opt,b,10,7536
jrndn,30,6,5,opt,b,11,7502
jrndn,30,6,5,opt,b,12,7392
jrndn,30,6,5,opt,b,13,7284
jrndn,30,6,5,opt,b,14,7236
jrndn,30,6,5,opt,b,15,7156
jrndn,30,6,5,opt,b,16,6932
jrndn,30,6,5,opt,b,17,6728
jrndn,30,6,5,opt,b,18,6536
jrndn,30,6,5,opt,b,19,6112
jrndn,30,6,5,opt,b,20,5702
jrndn,30,6,5,opt,b,21,5320
jrndn,30,6,5,opt,b,22,4644
jrndn,30,6,5,opt,b,23,3910
jrndn,30,6,5,opt,b,24,3236
jrndn,30,6,5,opt,b,25,2482
jrndn,30,6,5,opt,b,26,1826
jrndn,30,6,5,opt,b,27,1066
jrndn,30,6,5,opt,b,28,456
jrndn,30,6,5,opt,b,29,110
jrndn,30,6,5,opt,b,30,0
jrndn,30,6,5,opt,f,1,5188
jrndn,30,6,5,opt,f,2,5360
jrndn,30,6,5,opt,f,3,5426
jrndn,30,6,5,opt,f,4,5522
jrndn,30,6,5,opt,f,5,5456
jrndn,30,6,5,opt,f,6,5492
jrndn,30,6,5,opt,f,7,5492
jrndn,30,6,5,opt,f,8,5410
jrndn,30,6,5,opt,f,9,5394
jrndn,30,6,5,opt,f,10,5444
jrndn,30,6,5,opt,f,11,5376
jrndn,30,6,5,opt,f,12,5312
jrndn,30,6,5,opt,f,13,5228
jrndn,30,6,5,opt,f,14,5170
jrndn,30,6,5,opt,f,15,5154
jrndn,30,6,5,opt,f,16,4996
jrndn,30,6,5,opt,f,17,4924
jrndn,30,6,5,opt,f,18,4806
jrndn,30,6,5,opt,f,19,4500
jrndn,30,6,5,opt,f,20,4306
jrndn,30,6,5,opt,f,21,4098
jrndn,30,6,5,opt,f,22,3704
jrndn,30,6,5,opt,f,23,3220
jrndn,30,6,5,opt,f,24,2758
jrndn,30,6,5,opt,f,25,2224
jrndn,30,6,5,opt,f,26,1722
jrndn,30,6,5,opt,f,27,1054
jrndn,30,6,5,opt,f,28,456
jrndn,30,6,5,opt,f,29,110
jrndn,30,6,5,opt,f,30,0
jrndn,30,6,5,opt,p,1,4580
jrndn,30,6,5,opt,p,2,4710
jrndn,30,6,5,opt,p,3,4780
jrndn,30,6,5,opt,p,4,4820
jrndn,30,6,5,opt,p,5,4770
jrndn,30,6,5,opt,p,6,4850
jrndn,30,6,5,opt,p,7,4800
jrndn,30,6,5,opt,p,8,4808
jrndn,30,6,5,opt,p,9,4856
jrndn,30,6,5,opt,p,10,4852
jrndn,30,6,5,opt,p,11,4850
jrndn,30,6,5,opt,p,12,4800
jrndn,30,6,5,opt,p,13,4732
jrndn,30,6,5,opt,p,14,4730
jrndn,30,6,5,opt,p,15,4682
jrndn,30,6,5,opt,p,16,4590
jrndn,30,6,5,opt,p,17,4544
jrndn,30,6,5,opt,p,18,4468
jrndn,30,6,5,opt,p,19,4240
jrndn,30,6,5,opt,p,20,4094
jrndn,30,6,5,opt,p,21,3872
jrndn,30,6,5,opt,p,22,3542
jrndn,30,6,5,opt,p,23,3114
jrndn,30,6,5,opt,p,24,2700
jrndn,30,6,5,opt,p,25,2178
jrndn,30,6,5,opt,p,26,1710
jrndn,30,6,5,opt,p,27,1054
jrndn,30,6,5,opt,p,28,456
jrndn,30,6,5,opt,p,29,110
jrndn,30,6,5,opt,p,30,0
jrndn,30,6,5,cma,b,1,6732
jrndn,30,6,5,cma,b,2,6466
jrndn,30,6,5,cma,b,3,6630
jrndn,30,6,5,cma,b,4,6710
jrndn,30,6,5,cma,b,5,6834
jrndn,30,6,5,cma,b,6,6578
jrndn,30,6,5,cma,b,7,6340
jrndn,30,6,5,cma,b,8,6228
jrndn,30,6,5,cma,b,9,6356
jrndn,30,6,5,cma,b,10,6358
jrndn,30,6,5,cma,b,11,6144
jrndn,30,6,5,cma,b,12,5942
jrndn,30,6,5,cma,b,13,6046
jrndn,30,6,5,cma,b,14,5918
jrndn,30,6,5,cma,b,15,5910
jrndn,30,6,5,cma,b,16,6112
jrndn,30,6,5,cma,b,17,6218
jrndn,30,6,5,cma,b,18,6310
jrndn,30,6,5,cma,b,19,6164
jrndn,30,6,5,cma,b,20,6178
jrndn,30,6,5,cma,b,21,6300
jrndn,30,6,5,cma,b,22,6116
jrndn,30,6,5,cma,b,23,5646
jrndn,30,6,5,cma,b,24,5004
jrndn,30,6,5,cma,b,25,3988
jrndn,30,6,5,cma,b,26,2768
jrndn,30,6,5,cma,b,27,1620
jrndn,30,6,5,cma,b,28,676
jrndn,30,6,5,cma,b,29,154
